session_id,session_dir,robot_name,robot_ip,started_at,starting_charge,starting_charge_error,final_at,session_duration_sec,final_charge,final_charge_error,final_reason,final_robot_command,updated_at
session_20260430_115324,/Users/neurorobots/Desktop/repos/voice-llm-chat/src/../sessions/session_20260430_115324,meta,192.168.0.79,2026-04-30T11:53:35,97,,,,,,,,2026-04-30T11:53:35
session_20260430_115632,/Users/neurorobots/Desktop/repos/voice-llm-chat/src/../sessions/session_20260430_115632,meta,192.168.0.79,2026-04-30T11:56:41,96,,2026-04-30T12:19:13,1352.000,82,,before_special_command_action,shutdown,2026-04-30T12:19:13
session_20260430_130102,/Users/neurorobots/Desktop/repos/voice-llm-chat/src/../sessions/session_20260430_130102,meta,192.168.0.79,2026-04-30T13:01:12,94,,,,,,,,2026-04-30T13:01:12
session_20260430_135328,/Users/neurorobots/Desktop/repos/voice-llm-chat/src/../sessions/session_20260430_135328,meta,192.168.0.79,2026-04-30T13:53:37,84,,,,,,,,2026-04-30T13:53:37
session_20260430_135355,/Users/neurorobots/Desktop/repos/voice-llm-chat/src/../sessions/session_20260430_135355,meta,192.168.0.79,2026-04-30T13:54:04,84,,2026-04-30T14:25:05,1860.355,67,,before_special_command_action,shutdown,2026-04-30T14:25:05
session_20260430_145435,/Users/neurorobots/Desktop/repos/voice-llm-chat/src/../sessions/session_20260430_145435,meta,192.168.0.79,2026-04-30T14:54:46,99,,2026-04-30T15:21:16,1589.612,83,,before_special_command_action,shutdown,2026-04-30T15:21:16
session_20260430_155605,/Users/neurorobots/Desktop/repos/voice-llm-chat/src/../sessions/session_20260430_155605,meta,192.168.0.79,2026-04-30T15:56:15,97,,,,,,,,2026-04-30T15:56:15
session_20260501_110223,/Users/neurorobots/Desktop/repos/voice-llm-chat/src/../sessions/session_20260501_110223,meta,192.168.0.79,2026-05-01T11:02:32,95,,2026-05-01T11:15:37,784.336,87,,before_robot_speech,speech,2026-05-01T11:15:37
session_20260501_130304,/Users/neurorobots/Desktop/repos/voice-llm-chat/src/../sessions/session_20260501_130304,meta,192.168.0.79,2026-05-01T13:03:14,99,,2026-05-01T13:21:19,1084.268,96,,before_robot_speech,speech,2026-05-01T13:21:19
session_20260501_140526,/Users/neurorobots/Desktop/repos/voice-llm-chat/src/../sessions/session_20260501_140526,meta,192.168.0.79,2026-05-01T14:05:36,97,,2026-05-01T14:21:21,944.247,87,,before_robot_speech,speech,2026-05-01T14:21:21
